t,y
01:10:01:57,0
01:10:01:57,0
01:10:02:27,2
01:10:02:29,2
01:10:02:31,0
01:10:03:49,0
01:10:03:51,1
01:10:03:51,1
01:10:03:52,2
01:10:03:52,2
01:10:03:54,0
01:10:06:39,0
01:10:06:41,1
01:10:07:03,1
01:10:07:04,2
01:10:07:04,2
01:10:07:33,1
01:10:07:33,1
01:10:07:35,2
01:10:07:36,2
01:10:07:38,0
01:10:09:57,0
01:10:09:59,1
01:10:09:59,1
