t,y
01:10:01:57,0.0
20,0.024
,0.082
,0.143
,0.195
,0.257
,0.318
,0.377
,0.436
,0.495
,0.555
,0.618
,0.679
,0.74
,0.802
,0.865
,0.93
,0.995
,1.059
,1.124
,1.188
,1.252
,1.315
,1.377
,1.417
