t,y
01:10:01:57,1
01:10:02:13,1
01:10:02:13,0
01:10:02:51,0
01:10:02:51,1
01:10:03:01,1
01:10:03:01,0
01:10:09:35,0
01:10:09:35,1
01:10:10:00,1
