t,y
01:10:01:57,48923
01:10:02:11,48923
01:10:02:30,48924
01:10:02:42,48924
01:10:02:54,48925
01:10:03:15,48925
01:10:03:33,48926
01:10:04:05,48926
01:10:04:19,48927
01:10:04:38,48927
01:10:04:47,48928
01:10:05:09,48928
01:10:05:19,48929
01:10:05:21,48929
01:10:05:28,48930
01:10:05:53,48930
01:10:06:06,48931
01:10:06:24,48931
01:10:06:43,48932
01:10:07:16,48932
01:10:07:37,48933
01:10:07:49,48933
01:10:08:05,48934
01:10:08:37,48934
01:10:08:56,48935
01:10:09:43,48935
