t,y
01:10:01:57,87.5
10,77.9
,94.0
,93.1
,87.6
,85.2
,85.1
,87.8
,84.5
,84.1
,78.3
,72.7
,63.1
,59.2
,58.9
,61.4
,63.4
,55.2
,56.1
,65.8
,71.4
,70.4
,65.0
,62.5
,69.9
,72.0
,68.1
,71.7
,71.9
,70.9
,77.1
,76.3
,74.3
,77.3
,74.7
,72.4
,75.2
,72.5
,72.2
,76.3
,72.9
,74.8
,73.6
,74.7
,73.3
,74.7
,80.9
,76.7
